Mean,what
76.5198727104035,Exp 1 uncorrected
85.8857079245187,Exp 2 uncorrected
86.4625225803328,Exp 3 uncorrected
79.5300636430171,Experiment 1
83.5368424187699,Experiment 2
85.4461437575531,Experiment 3
