Parameter,Mean,SD,Lower,Upper
Intercept,84.4006781257994,1.15467620910649,82.1299106371451,86.6721121643765
Grade 11,7.67179683241211,1.1042308035749,5.50152199985356,9.82257973644633
Grade 12,13.4561187526147,1.69206845704738,10.1530369050964,16.7906320447634
$\sigma^2_w \, \mathrm{(school)}$,13.8144207716212,6.13710406326938,3.42643716650466,26.2693438755073
$\sigma^2_u \, \mathrm{(student)}$,97.1350675289699,9.16849381663208,79.4750000001441,115.302127388722
$\sigma^2_v \, \mathrm{(task)}$,10.8863691634554,3.9570990636498,4.37131576035635,18.8435503012452
$\sigma^2_\epsilon$,198.918210347344,6.90126072443831,185.575907859527,212.598750382385
