Parameter,Mean,SD,Lower,Upper
Intercept,75.8968719759914,4.71705390267657,65.6172106382177,87.7091277599208
Measurement 2,10.4029416795735,1.81801154425867,6.81062861058823,13.9269158380003
Measurement 3,10.9994101528454,1.82237240236627,7.48330005461109,14.6186501422934
$\sigma^2_w \, \mathrm{(school)}$,95.2603640756732,249.385967272268,9.78216447437781e-09,472.302504717541
$\sigma^2_u \, \mathrm{(student)}$,101.188878037828,23.654359054224,57.1089440470244,148.108061631608
$\sigma^2_\epsilon$,144.114660832881,15.7138244802154,114.336145419171,175.3110335638
