Parameter,Mean,SD,Lower,Upper
Intercept,82.3861041009725,1.86415340623824,78.7374092126351,86.0049631463887
Measurement 2,10.439914649036,2.09125060674808,6.4176441015114,14.5878204204128
Measurement 3,11.0290249153075,2.13215352879142,6.82676627761442,15.1843013125096
$\sigma^2_w \, \mathrm{(school)}$,96.6279986131259,9.16186865403036,79.0632822409159,114.799825449588
$\sigma^2_u \, \mathrm{(student)}$,38.1424382966077,11.3345336116475,17.4161647837077,61.0338806804435
$\sigma^2_\epsilon$,14.005466466313,0.23474555528407,13.5506535780188,14.4663940733662
